0.01339 0.09523 0.12921 0.01726 0.076 0.08856 0.02728 0.02536 0.14111 0.03883 0.03748 0.11541 0.1456 0.06206 0.06152 0.09479 0.11515 0.03612 0.01584 0.01358 0.07557 0.10209 0.04704 0.13913 0.13858 0.09941 0.08999 0.07991 0.01186 0.07196 0.14537 0.0062 0.11437 0.1244 0.14751 0.04195 0.12264 0.02106 0.00174 0.04998
0.08856 0.01339 0.01726 0.02536 0.03883 0.09523 0.14111 0.076 0.02728 0.12921 0.03612 0.06206 0.03748 0.11515 0.01584 0.06152 0.09479 0.1456 0.01358 0.11541 0.04704 0.02106 0.0062 0.07557 0.04998 0.04195 0.1244 0.12264 0.14751 0.13913 0.00174 0.01186 0.09941 0.13858 0.08999 0.11437 0.07196 0.10209 0.14537 0.07991
0.12921 0.09523 0.01726 0.08856 0.14111 0.01339 0.02536 0.076 0.03883 0.02728 0.11515 0.1456 0.01584 0.11541 0.03748 0.06152 0.03612 0.06206 0.09479 0.01358 0.00174 0.07557 0.01186 0.11437 0.09941 0.1244 0.08999 0.12264 0.13858 0.04998 0.14537 0.07196 0.0062 0.14751 0.02106 0.10209 0.04195 0.07991 0.13913 0.04704
0.01339 0.01726 0.076 0.09523 0.02728 0.03883 0.02536 0.12921 0.08856 0.14111 0.03612 0.06152 0.1456 0.09479 0.06206 0.11541 0.01584 0.01358 0.03748 0.11515 0.07557 0.1244 0.07991 0.04195 0.04998 0.01186 0.04704 0.13858 0.14751 0.13913 0.00174 0.08999 0.14537 0.10209 0.12264 0.09941 0.02106 0.07196 0.11437 0.0062
0.09523 0.14111 0.08856 0.076 0.01726 0.03883 0.12921 0.01339 0.02536 0.02728 0.03748 0.01358 0.03612 0.11515 0.01584 0.06152 0.09479 0.11541 0.06206 0.1456 0.13858 0.14751 0.04998 0.13913 0.11437 0.14537 0.12264 0.04704 0.1244 0.08999 0.10209 0.0062 0.02106 0.09941 0.00174 0.01186 0.04195 0.07196 0.07991 0.07557
0.30154 0.2697 0.23256 0.32781 0.31762 0.29308 0.2773 0.23066 0.26582 0.25938 0.20647 0.22188 0.20955 0.24064 0.32282 0.32169 0.18267 0.29137 0.20897 0.30227 0.15373 0.28065 0.27253 0.29494 0.31982 0.32909 0.32475 0.16442 0.19559 0.18931 0.25326 0.15525 0.21061 0.24307 0.3496 0.27684 0.2343 0.228 0.2952 0.33675
0.50179 0.45577 0.35813 0.46596 0.54781 0.52545 0.53376 0.35925 0.52284 0.40658 0.50947 0.42578 0.42995 0.52899 0.5297 0.4304 0.49223 0.46437 0.5187 0.37767 0.40397 0.36688 0.41706 0.48737 0.48871 0.46812 0.45362 0.37118 0.46141 0.5188 0.50621 0.44721 0.48132 0.37748 0.35625 0.36004 0.4211 0.5128 0.47464 0.37009
0.74187 0.57135 0.61367 0.7462 0.58381 0.74502 0.60632 0.56077 0.62111 0.69147 0.74683 0.64941 0.67455 0.6361 0.62676 0.71033 0.62033 0.74556 0.57686 0.6007 0.74696 0.60524 0.73348 0.63264 0.61306 0.59456 0.70198 0.64611 0.61331 0.65169 0.67089 0.73223 0.58865 0.63021 0.56805 0.70928 0.58891 0.69824 0.55997 0.70519
0.78583 0.82999 0.82502 0.84589 0.87528 0.76903 0.80126 0.84412 0.87008 0.86167 0.84899 0.75694 0.94586 0.87508 0.94772 0.92643 0.91701 0.85499 0.87091 0.92784 0.76709 0.78799 0.85083 0.83572 0.93877 0.77912 0.87585 0.82566 0.91691 0.76691 0.81081 0.80855 0.81546 0.87629 0.90513 0.90038 0.93167 0.78724 0.83274 0.88484
0.9668 0.97462 0.9629 0.97388 0.95237 0.97798 0.97339 0.96326 0.9625 0.96589 0.99768 0.9754 0.95216 0.96278 0.9937 0.99545 0.97279 0.95955 0.99246 0.95857 0.98073 0.98851 0.98729 0.9805 0.95388 0.99914 0.99605 0.96347 0.97904 0.9636 0.95791 0.97817 0.99351 0.98153 0.95259 0.96346 0.98332 0.99486 0.96833 0.95437
